"FiscalYear","County","Department","FundType","RegionCode","RegionName","Program","Budget","ActualSpend","Beneficiaries"
2024,"Fresno","Housing","Special Fund","Region 6","Central Valley (South)","Affordable Housing",93.2,95.9,478721
2020,"Inyo","Housing","Special Fund","Region 6","Central Valley (South)","Affordable Housing",88,77.2,276037
2021,"Inyo","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",78.5,89.8,425393
2022,"Inyo","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",53.6,57.9,491141
2023,"Inyo","Housing","Special Fund","Region 6","Central Valley (South)","Affordable Housing",90.3,87.2,329317
2024,"Inyo","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",159.9,158.5,107468
2020,"Kern","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",110.2,97.9,367266
2021,"Kern","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",179.3,160.9,363793
2022,"Kern","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",147,135.2,375606
2023,"Kern","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",111.6,115.1,491941
2024,"Kern","Housing","Special Fund","Region 6","Central Valley (South)","Affordable Housing",197.2,192.9,139814
2020,"Kings","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",189.6,188.5,96053
2021,"Kings","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",166.4,172,82009
2022,"Kings","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",101.1,90.6,488235
2023,"Kings","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",88.7,79.7,401154
2024,"Kings","Housing","Special Fund","Region 6","Central Valley (South)","Affordable Housing",73.7,73.9,200147
2020,"Tulare","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",180.6,169.5,111448
2021,"Tulare","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",138.6,147.8,320792
2022,"Tulare","Housing","Special Fund","Region 6","Central Valley (South)","Affordable Housing",62.8,56.9,68247
2023,"Tulare","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",163.1,159.3,190608
2024,"Tulare","Housing","Special Fund","Region 6","Central Valley (South)","Homeless Services",73.4,76.5,62234
2020,"Riverside","Housing","Special Fund","Region 7","Inland Empire","Homeless Services",60.1,68.5,326511
2021,"Riverside","Housing","Special Fund","Region 7","Inland Empire","Affordable Housing",68.1,69.6,337580
2022,"Riverside","Housing","Special Fund","Region 7","Inland Empire","Homeless Services",57.6,65.2,63921
2023,"Riverside","Housing","Special Fund","Region 7","Inland Empire","Homeless Services",123.7,108.5,273943
2024,"Riverside","Housing","Special Fund","Region 7","Inland Empire","Affordable Housing",127.8,117.3,299288
2020,"San Bernardino","Housing","Special Fund","Region 7","Inland Empire","Homeless Services",55,50.2,474528
2021,"San Bernardino","Housing","Special Fund","Region 7","Inland Empire","Homeless Services",152.7,171.8,247329
2022,"San Bernardino","Housing","Special Fund","Region 7","Inland Empire","Homeless Services",188.5,171.2,323340
2023,"San Bernardino","Housing","Special Fund","Region 7","Inland Empire","Homeless Services",51.4,57.5,126463
2024,"San Bernardino","Housing","Special Fund","Region 7","Inland Empire","Homeless Services",165.2,164.9,492569
2020,"Los Angeles","Housing","Special Fund","Region 8","Los Angeles","Affordable Housing",56.6,52.5,96827
2021,"Los Angeles","Housing","Special Fund","Region 8","Los Angeles","Affordable Housing",179.5,178.8,312090
2022,"Los Angeles","Housing","Special Fund","Region 8","Los Angeles","Homeless Services",143.1,162.1,185007
2023,"Los Angeles","Housing","Special Fund","Region 8","Los Angeles","Homeless Services",122.8,137.9,170566
2024,"Los Angeles","Housing","Special Fund","Region 8","Los Angeles","Affordable Housing",171.9,195.2,161387
2020,"Orange","Housing","Special Fund","Region 9","Orange County","Homeless Services",178.1,197.8,389998
2021,"Orange","Housing","Special Fund","Region 9","Orange County","Homeless Services",102.7,109.9,461699
2022,"Orange","Housing","Special Fund","Region 9","Orange County","Homeless Services",144.4,138.6,202343
2023,"Orange","Housing","Special Fund","Region 9","Orange County","Homeless Services",182.8,200,182687
2024,"Orange","Housing","Special Fund","Region 9","Orange County","Affordable Housing",176.8,173.7,164233
2020,"Imperial","Housing","Special Fund","Region 10","San Diego & Imperial Counties","Homeless Services",90.5,81.2,239745
2021,"Imperial","Housing","Special Fund","Region 10","San Diego & Imperial Counties","Homeless Services",86.8,83.4,386427
2022,"Imperial","Housing","Special Fund","Region 10","San Diego & Imperial Counties","Homeless Services",115.1,131.3,240398
2023,"Imperial","Housing","Special Fund","Region 10","San Diego & Imperial Counties","Homeless Services",89.4,88,436575
2024,"Imperial","Housing","Special Fund","Region 10","San Diego & Imperial Counties","Homeless Services",186.7,174.2,437802
2020,"San Diego","Housing","Special Fund","Region 10","San Diego & Imperial Counties","Homeless Services",153.5,151.5,232427
2021,"San Diego","Housing","Special Fund","Region 10","San Diego & Imperial Counties","Affordable Housing",120.1,115,406376
2022,"San Diego","Housing","Special Fund","Region 10","San Diego & Imperial Counties","Homeless Services",70.5,76.7,166576
2023,"San Diego","Housing","Special Fund","Region 10","San Diego & Imperial Counties","Homeless Services",126.5,133.9,164609
2024,"San Diego","Housing","Special Fund","Region 10","San Diego & Imperial Counties","Affordable Housing",195.9,190.7,387000
2020,"Butte","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",77.6,78.6,459064
2021,"Butte","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",138.9,128.1,87823
2022,"Butte","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",129,146.6,204675
2023,"Butte","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",163.3,178.3,487738
2024,"Butte","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",89,81.8,406662
2020,"Colusa","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",142.6,135.2,192079
2021,"Colusa","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",55.4,52,308439
2022,"Colusa","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",193.9,191.6,306915
2023,"Colusa","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",74.9,77.2,456661
2024,"Colusa","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",96.3,97.8,223741
2020,"El Dorado","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",110.9,118,339414
2021,"El Dorado","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",117.4,129.7,50651
2022,"El Dorado","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",134.7,154.8,127679
2023,"El Dorado","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",133,131.1,471055
2024,"El Dorado","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",178.6,157,328578
2020,"Glenn","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",114,112,449802
2021,"Glenn","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",127.3,141.4,146393
2022,"Glenn","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",129.5,134.8,364011
2023,"Glenn","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",117.4,128.4,184992
2024,"Glenn","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",99,90.6,100783
2020,"Lassen","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",179.8,199.5,250254
2021,"Lassen","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",171.5,170.9,314680
2022,"Lassen","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",198.8,175.1,385487
2023,"Lassen","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",114.9,122.9,420931
2024,"Lassen","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",119.9,125,413087
2020,"Modoc","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",121.9,122.3,213076
2021,"Modoc","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",182.1,171.7,489146
2022,"Modoc","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",127.3,119.5,187027
2023,"Modoc","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",153,131.9,429472
2024,"Modoc","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",76.5,68.4,445620
2020,"Nevada","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",120.5,109.1,103571
2021,"Nevada","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",152.9,152.1,356145
2022,"Nevada","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",54.1,48.4,485043
2023,"Nevada","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",102.9,112.6,455547
2024,"Nevada","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",75,85.1,185766
2020,"Placer","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",138,152.9,417839
2021,"Placer","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",93.3,86,111807
2022,"Placer","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",130.6,146.7,264097
2023,"Placer","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",70,76.6,247866
2024,"Placer","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",146.4,156,296317
2020,"Plumas","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",68.4,73.1,177863
2021,"Plumas","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",149.1,130.4,333404
2022,"Plumas","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",101,92.3,82345
2023,"Plumas","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",142.6,151,363286
2024,"Plumas","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",174.4,185.1,308219
2020,"Sacramento","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",169.9,167.9,294203
2021,"Sacramento","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",76.8,81.7,154862
2022,"Sacramento","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",89.8,86,311883
2023,"Sacramento","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",132.1,117.2,369651
2024,"Sacramento","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",100.3,109.4,135265
2020,"Shasta","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",112.9,121.9,91875
2021,"Shasta","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",149.1,151.3,362427
2022,"Shasta","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",167.9,167.8,482942
2023,"Shasta","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",76.2,71.6,318792
2024,"Shasta","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",127.3,123.7,447879
2020,"Sierra","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",181.9,177.9,191113
2021,"Sierra","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",115,104.2,437577
2022,"Sierra","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",112.6,106.4,469223
2023,"Sierra","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",91.9,90,477076
2024,"Sierra","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",120.3,125.5,217412
2020,"Siskiyou","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",172.1,153.5,444989
2021,"Siskiyou","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",78.2,68.7,166888
2022,"Siskiyou","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",180.9,180.4,356285
2023,"Siskiyou","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",178,186.8,68465
2024,"Siskiyou","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",126.2,124.2,379284
2020,"Sutter","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",147.8,162.5,495784
2021,"Sutter","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",199.9,194.1,247012
2022,"Sutter","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",146.1,136.7,323466
2023,"Sutter","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",124.8,138.6,162618
2024,"Sutter","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",97.2,86.9,127327
2020,"Tehama","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",199.7,185.8,256877
2021,"Tehama","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",84.8,76.6,139244
2022,"Tehama","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",117,115.2,358105
2023,"Tehama","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",89.7,95.8,299636
2024,"Tehama","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",58.7,64.1,434750
2020,"Yolo","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",193.4,173.1,91136
2021,"Yolo","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",61.6,69.1,293718
2022,"Yolo","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",119.9,133.2,179041
2023,"Yolo","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",78.8,77.8,168352
2024,"Yolo","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",197.2,169.1,83363
2020,"Yuba","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",189.6,191.1,499986
2021,"Yuba","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",127.9,117.9,177895
2022,"Yuba","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",193.4,214.5,143327
2023,"Yuba","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Roads",156,139.3,69497
2024,"Yuba","Transportation","Special Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Transit",148.2,153.8,156813
2020,"Del Norte","Transportation","Special Fund","Region 2","North Coast","Public Transit",83.2,83.1,230249
2021,"Del Norte","Transportation","Special Fund","Region 2","North Coast","Public Transit",143.2,148.8,117232
2022,"Del Norte","Transportation","Special Fund","Region 2","North Coast","Public Transit",181.6,163.9,361862
2023,"Del Norte","Transportation","Special Fund","Region 2","North Coast","Public Transit",94.3,91.4,157859
2024,"Del Norte","Transportation","Special Fund","Region 2","North Coast","Roads",103.5,111.9,169972
2020,"Humboldt","Transportation","Special Fund","Region 2","North Coast","Public Transit",87.4,88.4,160554
2021,"Humboldt","Transportation","Special Fund","Region 2","North Coast","Public Transit",154.2,174.7,248372
2022,"Humboldt","Transportation","Special Fund","Region 2","North Coast","Public Transit",85.5,85.6,291329
2023,"Humboldt","Transportation","Special Fund","Region 2","North Coast","Roads",64.7,68.8,342425
2024,"Humboldt","Transportation","Special Fund","Region 2","North Coast","Public Transit",78.8,83.9,400864
2020,"Lake","Transportation","Special Fund","Region 2","North Coast","Public Transit",160.8,177.1,417336
2021,"Lake","Transportation","Special Fund","Region 2","North Coast","Public Transit",94.2,92.6,268966
2022,"Lake","Transportation","Special Fund","Region 2","North Coast","Public Transit",150.2,147.9,184898
2023,"Lake","Transportation","Special Fund","Region 2","North Coast","Roads",90,86.7,463385
2024,"Lake","Transportation","Special Fund","Region 2","North Coast","Public Transit",51.7,44.4,243289
2020,"Mendocino","Transportation","Special Fund","Region 2","North Coast","Roads",155.2,153.8,468163
2021,"Mendocino","Transportation","Special Fund","Region 2","North Coast","Roads",81.3,82.7,300126
2022,"Mendocino","Transportation","Special Fund","Region 2","North Coast","Public Transit",166.9,158,366058
2023,"Mendocino","Transportation","Special Fund","Region 2","North Coast","Public Transit",72.9,82.1,470132
2024,"Mendocino","Transportation","Special Fund","Region 2","North Coast","Roads",191.8,217.1,196541
2020,"Napa","Transportation","Special Fund","Region 2","North Coast","Public Transit",172.6,187,273570
2021,"Napa","Transportation","Special Fund","Region 2","North Coast","Public Transit",51.1,45.7,74772
2022,"Napa","Transportation","Special Fund","Region 2","North Coast","Public Transit",157,133.5,183034
2023,"Napa","Transportation","Special Fund","Region 2","North Coast","Public Transit",153.5,171.3,390966
2024,"Napa","Transportation","Special Fund","Region 2","North Coast","Roads",81.4,72.9,190468
2020,"Sonoma","Transportation","Special Fund","Region 2","North Coast","Public Transit",106.3,106.2,136875
2021,"Sonoma","Transportation","Special Fund","Region 2","North Coast","Public Transit",112.4,97,298614
2022,"Sonoma","Transportation","Special Fund","Region 2","North Coast","Roads",109.2,93.5,335411
2023,"Sonoma","Transportation","Special Fund","Region 2","North Coast","Public Transit",167.4,159.9,341691
2024,"Sonoma","Transportation","Special Fund","Region 2","North Coast","Roads",57.5,53.9,225293
2020,"Trinity","Transportation","Special Fund","Region 2","North Coast","Public Transit",58.2,50,429933
2021,"Trinity","Transportation","Special Fund","Region 2","North Coast","Public Transit",123,136.9,432972
2022,"Trinity","Transportation","Special Fund","Region 2","North Coast","Public Transit",126.8,141.7,322499
2023,"Trinity","Transportation","Special Fund","Region 2","North Coast","Public Transit",82.8,72.8,197385
2024,"Trinity","Transportation","Special Fund","Region 2","North Coast","Roads",141.6,147.6,108560
2020,"Alameda","Transportation","Special Fund","Region 3","Bay Area","Public Transit",145.8,148.1,84544
2021,"Alameda","Transportation","Special Fund","Region 3","Bay Area","Roads",149.8,168.6,275901
2022,"Alameda","Transportation","Special Fund","Region 3","Bay Area","Roads",69.9,61.7,172042
2023,"Alameda","Transportation","Special Fund","Region 3","Bay Area","Roads",71.4,72.8,224166
2024,"Alameda","Transportation","Special Fund","Region 3","Bay Area","Public Transit",200,201.9,169817
2020,"Contra Costa","Transportation","Special Fund","Region 3","Bay Area","Public Transit",88.1,81.5,371906
2021,"Contra Costa","Transportation","Special Fund","Region 3","Bay Area","Roads",82.6,91.2,101887
2022,"Contra Costa","Transportation","Special Fund","Region 3","Bay Area","Roads",150.7,161.1,281505
2023,"Contra Costa","Transportation","Special Fund","Region 3","Bay Area","Roads",108.3,105.7,58475
2024,"Contra Costa","Transportation","Special Fund","Region 3","Bay Area","Public Transit",135.6,131.7,135667
2020,"Marin","Transportation","Special Fund","Region 3","Bay Area","Public Transit",66.4,73,246336
2021,"Marin","Transportation","Special Fund","Region 3","Bay Area","Public Transit",169.3,173,359595
2022,"Marin","Transportation","Special Fund","Region 3","Bay Area","Public Transit",105.9,114.4,202279
2023,"Marin","Transportation","Special Fund","Region 3","Bay Area","Public Transit",175.2,154.5,223741
2024,"Marin","Transportation","Special Fund","Region 3","Bay Area","Public Transit",197.5,220.4,108165
2020,"San Francisco","Transportation","Special Fund","Region 3","Bay Area","Roads",133.6,118,482260
2021,"San Francisco","Transportation","Special Fund","Region 3","Bay Area","Public Transit",102.4,115,124830
2022,"San Francisco","Transportation","Special Fund","Region 3","Bay Area","Public Transit",194.5,176.6,461862
2023,"San Francisco","Transportation","Special Fund","Region 3","Bay Area","Public Transit",159.4,175.7,287451
2024,"San Francisco","Transportation","Special Fund","Region 3","Bay Area","Public Transit",134.2,149.1,348514
2020,"San Mateo","Transportation","Special Fund","Region 3","Bay Area","Roads",76,79.5,210738
2021,"San Mateo","Transportation","Special Fund","Region 3","Bay Area","Public Transit",146.3,168.2,408797
2022,"San Mateo","Transportation","Special Fund","Region 3","Bay Area","Roads",190.7,192.1,448667
2023,"San Mateo","Transportation","Special Fund","Region 3","Bay Area","Public Transit",150,143.7,471611
2024,"San Mateo","Transportation","Special Fund","Region 3","Bay Area","Roads",152,154.5,261976
2020,"Santa Clara","Transportation","Special Fund","Region 3","Bay Area","Roads",69.1,76.5,204593
2021,"Santa Clara","Transportation","Special Fund","Region 3","Bay Area","Public Transit",85.5,89.1,427597
2022,"Santa Clara","Transportation","Special Fund","Region 3","Bay Area","Roads",133.4,113.5,434397
2023,"Santa Clara","Transportation","Special Fund","Region 3","Bay Area","Roads",138.7,125.5,67174
2024,"Santa Clara","Transportation","Special Fund","Region 3","Bay Area","Public Transit",106.1,98.7,294509
2020,"Solano","Transportation","Special Fund","Region 3","Bay Area","Roads",102.4,95.5,406766
2021,"Solano","Transportation","Special Fund","Region 3","Bay Area","Public Transit",136.9,130.6,148238
2022,"Solano","Transportation","Special Fund","Region 3","Bay Area","Roads",154.2,145.4,268655
2023,"Solano","Transportation","Special Fund","Region 3","Bay Area","Roads",124,121.1,195926
2024,"Solano","Transportation","Special Fund","Region 3","Bay Area","Public Transit",81.4,76.5,415528
2020,"Alpine","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",101.3,106.5,91683
2021,"Alpine","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",151.8,146.8,215873
2022,"Alpine","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",68.1,62.6,110951
2023,"Alpine","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",191.5,190.2,375470
2024,"Alpine","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",74.9,65.3,115222
2020,"Amador","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",184.5,168.6,164457
2021,"Amador","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",52.5,57.8,295138
2022,"Amador","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",143,122.1,283874
2023,"Amador","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",141.4,143,346831
2024,"Amador","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",144.6,165.3,289669
2020,"Calaveras","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",115.7,100.9,204778
2021,"Calaveras","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",149.5,136.4,460801
2022,"Calaveras","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",160.9,159.8,319880
2023,"Calaveras","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",172.3,190.2,339021
2024,"Calaveras","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",141.4,127.4,156495
2020,"Madera","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",147.5,137.3,232727
2021,"Madera","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",88.1,100,450642
2022,"Madera","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",159.2,168.3,187308
2023,"Madera","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",92,103.3,267834
2024,"Madera","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",160.7,158.1,406476
2020,"Mariposa","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",64.5,54.8,371834
2021,"Mariposa","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",138.5,147.9,368172
2022,"Mariposa","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",83,94,495119
2023,"Mariposa","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",164.7,141.6,310449
2024,"Mariposa","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",198.9,181.4,271632
2020,"Merced","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",128.5,132.1,59482
2021,"Merced","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",162.4,161.6,122155
2022,"Merced","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",176.6,173.5,349919
2023,"Merced","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",66.2,65.3,434177
2024,"Merced","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",100.1,112.6,138382
2020,"Mono","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",52,52,238642
2021,"Mono","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",136.5,131.2,433063
2022,"Mono","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",90.6,99,414772
2023,"Mono","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",126.9,121.2,314900
2024,"Mono","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",153,133.3,159690
2020,"San Joaquin","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",71.2,61.2,107012
2021,"San Joaquin","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",141.8,160.6,185319
2022,"San Joaquin","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",182.7,186.3,229989
2023,"San Joaquin","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",90,99.2,352935
2024,"San Joaquin","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",68.4,73.2,140286
2020,"Stanislaus","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",87.1,99.7,300333
2021,"Stanislaus","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",185.6,180.4,398504
2022,"Stanislaus","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",141.6,154.7,124066
2023,"Stanislaus","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",71.4,66.7,110534
2024,"Stanislaus","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",156,158.1,298559
2020,"Tuolumne","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",74.5,77.6,286633
2021,"Tuolumne","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",199.7,224.2,72914
2022,"Tuolumne","Transportation","Special Fund","Region 4","Central Valley (North)","Public Transit",170.8,151.1,233755
2023,"Tuolumne","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",113.2,123.8,193493
2024,"Tuolumne","Transportation","Special Fund","Region 4","Central Valley (North)","Roads",120.1,124.6,130267
2020,"Monterey","Transportation","Special Fund","Region 5","Central Coast","Public Transit",108.5,114,118641
2021,"Monterey","Transportation","Special Fund","Region 5","Central Coast","Roads",54.9,60.6,365519
2022,"Monterey","Transportation","Special Fund","Region 5","Central Coast","Roads",149.1,129.9,361008
2023,"Monterey","Transportation","Special Fund","Region 5","Central Coast","Roads",190,186.3,169231
2024,"Monterey","Transportation","Special Fund","Region 5","Central Coast","Public Transit",88.7,95.4,432913
2020,"San Benito","Transportation","Special Fund","Region 5","Central Coast","Public Transit",51,48.7,170704
2021,"San Benito","Transportation","Special Fund","Region 5","Central Coast","Public Transit",173.3,150.1,158161
2022,"San Benito","Transportation","Special Fund","Region 5","Central Coast","Public Transit",86.6,83.1,55912
2023,"San Benito","Transportation","Special Fund","Region 5","Central Coast","Roads",64.8,70,438833
2024,"San Benito","Transportation","Special Fund","Region 5","Central Coast","Roads",59.6,62.9,188141
2020,"San Luis Obispo","Transportation","Special Fund","Region 5","Central Coast","Roads",133.3,142.7,362859
2021,"San Luis Obispo","Transportation","Special Fund","Region 5","Central Coast","Roads",92.8,81.7,173275
